yy1,myEd,sumNormW,sumLWall
764,2,35.55037587469913,0.23053820701951483
894,2,35.57718082506673,0.2311711979600097
1040,3,35.586150172124164,0.23138300642641785
2359,3,35.644141464709115,0.23275245357444277
2527,2,35.6936209354453,0.23392089657795384
2548,2,35.74128147236178,0.2350463859996284
3078,1,35.785804007717715,0.23609777244659735
3387,3,35.83184916575222,0.237185115175824
3876,2,35.88377946499279,0.23841143376644539
4157,2,35.93984234160204,0.23973534194404178
1788,1,35.99912925538808,0.2411460517950672
3252,3,36.04341858527518,0.24220029819911623
2128,3,36.095739685300224,0.2434476125506994
3048,2,36.15367069069555,0.24482866482973503
3465,2,36.20102463717617,0.24595943860239158
513,2,36.237028658135394,0.24683071603446538
2934,2,36.285971612569924,0.24803492177111258
91,2,36.35748160013538,0.24980389389559265
3441,3,36.449306667658156,0.25207986930438325
1419,2,36.511795036080564,0.25363196598877175
1657,2,36.56485115057984,0.2549631470652167
1563,2,36.62300604343411,0.2564280116196564
653,2,36.65686899546119,0.2572916482570015
2512,3,36.69283059994795,0.2582088086731298
2699,3,36.75909737219382,0.25989886842646626
4031,3,36.82554000378704,0.2615934132753512
3796,3,36.86447405360826,0.2625874333393402
2212,3,36.88525024991578,0.2631266895341577
4106,2,36.9256816110416,0.26417766902255185
1060,3,36.989542066996314,0.26586576101406206
1305,2,37.028774689847026,0.2669042861060086
2452,2,37.08434482573994,0.26837948008249507
2037,2,37.16366957013481,0.27050582836881565
4378,2,37.209991373950594,0.2717476376635882
2408,2,37.26085015662591,0.27312480158211583
1789,2,37.31063894435393,0.27449807458314784
2991,3,37.37203148824176,0.27622619647428714
3722,2,37.42062771910904,0.2775945556329354
125,2,37.48672485892687,0.27946759282003086
488,1,37.53557004781857,0.2808517503714319
583,3,37.594806797488054,0.2825303802679663
588,2,37.63427990692099,0.2836489551724469
1090,2,37.69428811749921,0.2853494464532173
1688,1,37.73821677358849,0.28659428105061624
1955,2,37.78661045966779,0.2879656440762628
2189,1,37.840982126045745,0.28950640897669494
2201,2,37.872775344049444,0.29040735385543703
2314,2,37.91169514433703,0.29151024928259006
2549,3,37.96551792459085,0.2930354600436929
2624,2,38.02964217212251,0.2948525901124424
2925,3,38.07195652755465,0.29605167923325487
4417,1,38.11679084914258,0.2973221782567202
4485,3,38.1622672516721,0.29861087234103134
2666,3,38.20761534205842,0.2998961343390302
712,1,38.24432609501864,0.30094138436203843
3308,3,38.288322716592155,0.3022079347915639
300,1,38.33910971417808,0.3036711050227958
1435,2,38.405235931646445,0.30557768441305244
3193,3,38.50060127674399,0.3083444571197045
1420,3,38.57057433730263,0.3103745399968388
3679,3,38.62345386824694,0.3119127429423568
3812,2,38.66468632407216,0.3131201212656104
2906,2,38.72578630238337,0.3149139920618533
310,2,38.794630543222674,0.31694229163261184
3012,3,38.8437115212042,0.31840081840177487
107,2,38.84908444547431,0.3185608080532442
1944,2,38.90229838567517,0.3201539772981543
1954,2,38.9403911108504,0.32129546136883386
3931,2,38.99834049424859,0.32304187376553706
3157,3,39.05491042304682,0.32476070868842305
523,2,39.061166222115055,0.32495205270548894
2516,2,39.098206882643005,0.3260853028000221
4344,2,39.16531402237417,0.3281454325216873
4142,3,39.22181993687827,0.32990680143104706
335,2,39.283920061681364,0.33185092961433343
1932,3,39.34986187793217,0.33392066609012855
3312,2,39.41768606416032,0.33605040033042766
1886,2,39.45757990273374,0.33732032571713444
2341,3,39.52282215579573,0.33942797106760875
2739,3,39.56645758086751,0.34084137816346116
2296,3,39.60890866284819,0.342220012671625
1732,2,39.66339918820605,0.34399061860775715
3521,3,39.71307625630468,0.34560481687594063
1168,2,39.7651943589804,0.34730091243141314
