yy1,myEd,sumEdW,sumLW
906,2,75.55545168032393,8.808364811033707
1130,2,75.66739488397764,8.87151890918987
185,2,75.7562682837055,8.921869418608884
228,2,75.78311226900126,8.93708263154121
2749,2,75.88668044190644,8.996522467270163
144,2,75.98877093017175,9.055187122490679
998,2,76.16978119463863,9.159385564987964
3418,2,76.17006495191062,9.159551022736132
1061,2,76.33176969420526,9.254738415623125
2069,2,76.45610712106993,9.328011762536919
3620,2,76.51491739063316,9.362785909454159
3144,2,76.64844392442582,9.442159156314649
2944,2,76.76185071536356,9.509629743419556
281,2,76.89441509727341,9.588592657304645
589,2,76.99158096341542,9.646598668318802
442,2,77.02467554380124,9.666372951077822
2538,2,77.12851176028262,9.72961039518222
267,2,77.29021874456976,9.828391134708523
777,2,77.30717104986526,9.83874666301887
389,2,77.38224834855906,9.88501557219677
2656,2,77.51881820456123,9.969434141269408
2118,2,77.62029535052159,10.032549793859033
2791,2,77.62067115236552,10.032785826639143
961,2,77.72348128278237,10.098013798953788
681,2,77.82897741152944,10.165219302364248
2995,2,77.92363309941483,10.225699459207812
3957,2,77.98971356777609,10.268162481477464
623,2,78.11508450472353,10.350184052273441
4178,2,78.18045279184862,10.393745184700158
3212,2,78.28481914914984,10.463822698899122
4337,2,78.36535101046363,10.517914690130054
2984,2,78.46180825645412,10.58353250392219
1146,2,78.47752478797383,10.594296442697908
592,2,78.6017569467112,10.680533683969971
1137,2,78.67109271491543,10.728663938102097
4458,2,78.79337565469832,10.813580442511292
4060,2,78.89664195410772,10.885673601584687
3217,2,78.90156279138212,10.889115485315537
2693,2,79.05093346240068,10.993632425569414
349,2,79.08165543289608,11.015262132013687
883,2,79.19279065192137,11.094127225915432
192,2,79.2753295854936,11.15419571231384
3724,2,79.30469338370857,11.175751465791722
1453,2,79.40297140716865,11.248650335466063
3145,2,79.54675366043845,11.355340520273495
2999,2,79.57334261950605,11.375274128299928
4101,2,79.64268875370972,11.428225323096237
2861,2,79.78140417949434,11.535300886852
3839,2,79.91898960590514,11.641540578369685
493,2,80.00916140749862,11.711645675050503
4073,2,80.15325452710998,11.823672516068209
4063,2,80.27356935375211,11.917490090499253
2561,2,80.37951785097303,12.000547383232128
4364,2,80.45194493569171,12.057438892629548
293,2,80.51254972632393,12.105797229538133
964,2,80.58421621996014,12.16300286999799
1190,2,80.72680182434851,12.277490621864809
3880,2,80.83087490645951,12.361355093936046
544,2,80.85410921366028,12.380079366608236
3489,2,80.86612188845929,12.389782994040708
3214,2,81.01296088382423,12.50864507885848
305,2,81.10895615685023,12.587593191586194
3905,2,81.21739230108062,12.6779198898677
1363,2,81.376311594839,12.811904964832635
3261,2,81.46701013908465,12.889301474610468
4080,2,81.47008528414989,12.89193877829566
3395,2,81.63660640344152,13.035273639318179
60,2,81.76634025804292,13.14737573321654
1910,2,81.88321801171041,13.250251226998566
4028,2,81.9664510088436,13.324161999350933
1075,2,82.09304830633678,13.438254089459564
3362,2,82.21767520916767,13.552685907963655
86,2,82.21963100639786,13.554490405575278
3350,2,82.3077461231,13.636177642657874
1731,2,82.3812173083604,13.704518853245235
1935,2,82.46088596405076,13.778677478091186
745,2,82.60463218281438,13.91767066813459
173,2,82.69993306929302,14.010663889240668
1820,2,82.83462519361818,14.144001158141926
1471,2,82.90749938274797,14.217152115373688
1841,2,82.98369446995105,14.294326694259532
3204,2,82.99351286337145,14.30428083241734
1660,2,83.08443534922985,14.396608962681453
2790,2,83.17361792993559,14.48752404437057
3196,2,83.34712318166086,14.666464585823174
4045,2,83.34749994784495,14.666856890963617
1606,2,83.42224927800693,14.745252660142343
2044,2,83.49802248510791,14.826460721367884
3044,2,83.57903064251032,14.917204366503775
1931,2,83.68088803067722,15.031720383564037
2557,2,83.76497764107683,15.126561789324706
4185,2,83.87536779678847,15.252232773760854
1738,2,84.00715359462191,15.402297698198167
2207,2,84.08802671205174,15.49440465230147
2836,2,84.2144025719899,15.638647464525512
731,2,84.33147992198646,15.773324533500304
3381,2,84.43915302248891,15.897445608768201
3311,2,84.49440525403962,15.961611190669922
3290,2,84.55545115980779,16.033720344345685
1866,2,84.73341265633881,16.245668160857182
1992,2,84.83500944830863,16.367257996733557
2316,2,84.92697365000745,16.477728226333515
2568,2,84.94811179944074,16.503184305060202
534,2,85.06482990456644,16.649423840951457
867,2,85.07290197576431,16.65954718131474
366,2,85.09968186361536,16.69352234747959
2895,2,85.18575579147142,16.803005731755164
